KPI,Category,Sept_coef,Oct_coef,Nov_coef,Dec_coef,Overall_rank
tutela_good_coverage,mv_all_benchmark,0.018800928,0.129220784,0.061234886,0.049852981,1
ccis_data_service_complaint,mv_all_serviceexperience,0.004124334,0.079289788,0.11271923,0.143122046,2
stream_qoe,mv_all_serviceexperience,0.0109617,0.057933222,0.037316457,0.067317997,3
onx_avg_stalling_time_overall,mv_all_benchmark,0.036653376,0.115009725,0.049223601,0.008443805,4
onx_download_speed_overall,mv_all_benchmark,0.292136235,0.052130527,0.059495005,0.008595883,5
tutela_video_score_netflix,mv_all_benchmark,0.012664243,0.025207078,0.044869662,0.026891476,6
tutela_game_parameter,mv_all_benchmark,0.014292557,0.078783771,0.014853365,0.042304443,7
tutela_jitter,mv_all_benchmark,0.007680134,0.047187644,0.042135628,0.034824152,8
games_qoe,mv_all_serviceexperience,0.009050039,0.086193094,0.059955789,0.000743477,9
onx_udp_jitter_overall,mv_all_benchmark,0.002571991,0.036819472,0.037813414,0.042487976,10
tutela_upload_throughput,mv_all_benchmark,0.005136422,0.029181049,0.023799592,0.037807594,11
volte_accessibility_sr,mv_all_networkperformance,0.005490007,0.008699834,0.02548792,0.094846148,12
nr_prb_utilization_dl_rate_relactuserdl,mv_all_capacity,0.003129203,0.047968365,0.018789625,0.079648956,13
dl_resource_block_utilization_rate_relactuserdl_num,mv_all_capacity,0.003783552,0.023468807,0.026699259,0.044392692,14
onx_upload_speed_overall,mv_all_benchmark,0.004908278,0.011598728,0.037606371,0.014733037,15
tutela_download_throughput,mv_all_benchmark,0.007805181,0.007934296,0.016633973,0.042078646,16
nr_prb_utilization_ul_rate_relactuserdl,mv_all_capacity,0.010657423,0.029081903,0.008043397,0.002036532,17
ul_resource_block_utilization_rate_relactuserdl_num,mv_all_capacity,0.007039354,0.001476612,0.015364548,0.037031465,18
enodeb_share,mv_all_benchmark,0.000660823,0.025767361,0.02227592,0.035788554,19
tutela_packetloss,mv_all_benchmark,0.003121766,0.012347962,0.020220747,0.008524971,20
onx_avg_initialbufferinterval_overall,mv_all_benchmark,0.003004644,0.008540235,0.022249139,0.021009382,21
sample_qualitymatch,mv_all_benchmark,0.006827039,0.010283094,0.02337126,0,22
nr_availability_rate,mv_all_networkperformance,0,0.009372904,0.03130838,0.011270779,23
packetloss,mv_all_networkperformance,0.006524596,0.012111553,0.000382977,0.003612473,24
tutela_good_quality,mv_all_benchmark,0.002362123,0.006057304,0.005415338,0.037180159,25
onx_avg_video_throughput_overall,mv_all_benchmark,0.001824308,0.020433265,0.030722975,0,26
tutela_excellent_quality,mv_all_benchmark,0.012126105,0.00324385,0.002149199,0.000331542,27
onx_udp_packetloss_overall,mv_all_benchmark,0.467041016,0.000289047,0.000411802,0.000708493,28
onx_codingsegmentsdurationpercentagehd_overall,mv_all_benchmark,0.003527203,0.000692497,0,0.045173661,29
tutela_latency,mv_all_benchmark,0.003302704,0.000945272,0.019886255,0.003272139,30
im_qoe,mv_all_serviceexperience,0.0085521,0.014482266,0.000284028,0,31
ccis_signal_complaint,mv_all_serviceexperience,0.012881893,0.003938229,0,0,32
onx_sum_stalling_occurance_overall,mv_all_benchmark,0,0,0.090666018,0.001053367,33
sd_setup_sr_rate,mv_all_networkperformance,0.000747731,0.000333544,0.029902592,9.43419E-05,34
cei_score,mv_all_serviceexperience,0.002760215,0.002806873,0.006152174,0.000632474,35
onx_udp_latency_overall,mv_all_benchmark,0.0009417,0,0,0.015162839,36
call_setup_success_rate,mv_all_networkperformance,0,0,0.000532938,0.024529586,37
nr_user_throughput_dl_mbps_relactuserdl,mv_all_networkperformance,0.004891374,0,0,6.97033E-05,38
ccis_voice_and_sms_service_complaint,mv_all_serviceexperience,0.000745473,0,0.000109016,0.005873403,39
onx_codingsegmentsdurationaveragehd_overall,mv_all_benchmark,0.000352489,0.001016361,0.001437315,0,40
ows_availability,mv_all_networkperformance,0,0,0,0.007838843,41
availability_rate,mv_all_networkperformance,0,7.04002E-05,0.000164716,0,42
f_sharing_qoe,mv_all_serviceexperience,0.000663354,0,0,0,43
ccsr_voice_rate,mv_all_networkperformance,0,0,0.000315447,0,44
nr_retainability_rate,mv_all_networkperformance,0,8.32377E-05,0,0,45
tutela_video_score_all,mv_all_benchmark,0,0,0,0.000713968,46
web_page_qoe,mv_all_serviceexperience,0.000167479,0,0,0,47
user_downlink_throughput,mv_all_capacity,8.89537E-05,0,0,0,48
max_resource_block_utilization_rate_relactuserdl_num,mv_all_capacity,0,0,0,0,49
nr_sn_setup_success_rate,mv_all_networkperformance,0,0,0,0,50
volte_retainability_rate,mv_all_networkperformance,0,0,0,0,51
onx_ecq,mv_all_benchmark,0,0,0,0,52
tutela_video_score_youtube,mv_all_benchmark,0,0,0,0,53
